Fuel Type Code,City,State,Longitude,Latitude,Region
ELEC,Olancha,CA,-118.0030252,36.2741917,West
ELEC,Olancha,CA,-118.0028519,36.2739306,West
ELEC,Olancha,CA,-118.0028606,36.2739528,West
ELEC,Medford,WI,-90.3337978730168,45.1483774704468,Midwest
CNG,Miami,FL,-80.31153,25.74321,Southeast
ELEC,Cottleville,MO,-90.65331,38.746,Midwest
ELEC,Cottleville,MO,-90.65321,38.74736,Midwest
ELEC,Chula Vista,CA,-116.96529,32.64889,West
ELEC,Pittsburgh,PA,-80.18253,40.4467,Northeast
ELEC,Beloit,WI,-89.03884010279089,42.50059345229046,Midwest
ELEC,Purcellville,VA,-77.719042,39.130306,Southeast
ELEC,Miami,FL,-80.1981945478447,25.765557990370265,Southeast
ELEC,Sugar Hill,GA,-84.03523976273917,34.081404680937595,Southeast
ELEC,Morongo Valley,CA,-116.58440668530804,34.04395433269521,West
ELEC,Miami Beach,FL,-80.14881,25.79035,Southeast
ELEC,Syracuse,NY,-76.087928,43.061271,Northeast
ELEC,Atlanta,GA,-84.388114,33.784868,Southeast
ELEC,Atlanta,GA,-84.388144,33.784921,Southeast
ELEC,Atlanta,GA,-84.388232,33.784957,Southeast
ELEC,Atlanta,GA,-84.388071,33.784832,Southeast
ELEC,Atlanta,GA,-84.388117,33.784909,Southeast
ELEC,Atlanta,GA,-84.388142,33.784915,Southeast
ELEC,Atlanta,GA,-84.388138,33.784897,Southeast
ELEC,Atlanta,GA,-84.388119,33.784899,Southeast
ELEC,Chantilly,VA,-77.461732,38.900537,Southeast
ELEC,Dinuba,CA,-119.40915,36.546494,West
ELEC,Ocean City,NJ,-74.57773,39.279804,Northeast
ELEC,Ocean City,NJ,-74.57765,39.279758,Northeast
ELEC,Chantilly,VA,-77.461906,38.900223,Southeast
ELEC,Chantilly,VA,-77.461976,38.900598,Southeast
ELEC,Fremont,CA,-121.94491,37.500393,West
ELEC,Fremont,CA,-121.945,37.500366,West
ELEC,Fremont,CA,-121.944885,37.5004,West
ELEC,Fremont,CA,-121.944898,37.500396,West
ELEC,Fremont,CA,-121.94487,37.500402,West
ELEC,Lillington,NC,-78.808355,35.412051,Southeast
ELEC,Joliet,IL,-88.159817,41.559506,Midwest
ELEC,Fremont,CA,-121.94502,37.500362,West
ELEC,Ocean City,NJ,-74.5777,39.279793,Northeast
ELEC,Ocean City,NJ,-74.577681,39.279779,Northeast
ELEC,East Highland Park,VA,-77.39493,37.58088,Southeast
